Family	Subclass	Ambler_class	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
blaCVI	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
blaDIM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaEAM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaEBR	CARBAPENEM	bla-B	1	1	1	1	1	2	2	2	2	3	4	4	5	5	5	5
blaCPS	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaCRH	CARBAPENEM	bla-A	0	0	0	0	0	1	1	3	3	3	3	3	3	3	3	3
blaCRP	CARBAPENEM	bla-A	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
blaCAM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	2
blaBIC	CARBAPENEM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
blaBJP	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBKC	CARBAPENEM	bla-A	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2
blaAXC	CARBAPENEM	bla-A	0	0	0	0	0	0	0	1	3	5	5	7	7	7	8	8
blaB	CARBAPENEM	bla-B	8	8	8	8	10	12	14	35	36	37	37	38	38	38	38	38
blaADC	CARBAPENEM	bla-C	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
blaALI	CARBAPENEM	bla-B	0	0	0	0	1	1	2	2	2	2	2	2	2	2	2	2
blaANA	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaAFM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	2	3	4	4	5	5
blaAIM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2
blaOXA	CARBAPENEM	bla-D	100	121	141	226	286	330	360	384	493	579	590	642	706	721	753	769
blaMOC	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaMUS	CARBAPENEM	bla-B	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2
blaMYO	CARBAPENEM	bla-B	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
blaMYX	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaNDM	CARBAPENEM	bla-B	1	4	7	9	11	15	16	20	26	28	30	39	48	60	76	79
blaHMB	CARBAPENEM	bla-B	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	3
blaIMI	CARBAPENEM	bla-A	4	4	4	5	7	9	12	16	17	19	20	22	23	25	28	30
blaIMP	CARBAPENEM	bla-B	29	32	41	43	44	50	59	62	72	79	84	85	92	97	100	102
blaGIM	CARBAPENEM	bla-B	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3
blaGOB	CARBAPENEM	bla-B	12	12	12	12	16	19	25	43	47	51	51	51	52	52	52	52
blaGPC	CARBAPENEM	bla-A	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaFPH	CARBAPENEM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaFRI	CARBAPENEM	bla-A	0	0	0	0	0	1	2	5	7	10	11	12	13	13	13	13
blaESP	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaEVM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaGES	CARBAPENEM	bla-A	5	5	8	8	9	11	12	13	15	15	15	20	22	22	24	24
blaIND	CARBAPENEM	bla-B	16	16	16	16	16	17	17	17	17	18	18	18	18	20	20	20
blaJOHN	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaKHM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
blaKPC	CARBAPENEM	bla-A	9	11	11	14	16	18	20	22	27	32	41	63	95	128	156	167
blaKPC	CARBAPENEM/CEFTIBUTEN-AVIBACTAM	bla-A	0	0	0	0	0	1	2	2	2	2	2	2	2	2	2	2
blaNDM	CARBAPENEM/TANIBORBACTAM	bla-B	0	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2
blaVIM	CARBAPENEM/TANIBORBACTAM	bla-B	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
blaIMP	CARBAPENEM/XERUBORBACTAM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaKPC	CEFIDEROCOL/CEPHALOSPORIN	bla-A	0	0	0	0	0	0	1	1	2	2	3	3	3	3	3	3
blaOXA	CEFIDEROCOL/CEPHALOSPORIN	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSHV	CEFIDEROCOL/CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaPDC_gen	CEFIDEROCOL/CEPHALOSPORIN	bla-C	0	0	0	0	0	0	0	2	2	2	2	2	2	3	3	3
blaPDC_gen	CEPHALOSPORIN	bla-C	21	33	33	34	72	75	156	207	297	367	444	491	521	562	627	660
blaPAC	CEPHALOSPORIN	bla-C	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2
blaPME	CEPHALOSPORIN	bla-A	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaPER	CEPHALOSPORIN	bla-A	6	8	9	9	10	10	11	12	12	14	15	16	16	16	18	18
blaPLA	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaRAHN	CEPHALOSPORIN	bla-A	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6
blaROB	CEPHALOSPORIN	bla-A	1	1	1	2	5	5	5	7	9	10	10	12	12	12	12	12
blaSGM	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaRTG	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-PR	CEPHALOSPORIN	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3
blaOXY	CEPHALOSPORIN	bla-A	24	24	27	29	31	37	42	44	48	60	79	83	86	86	86	86
blaOCH	CEPHALOSPORIN	bla-C	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
blaOHIO	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSHV	CEPHALOSPORIN	bla-A	38	39	48	49	51	51	51	53	54	54	54	54	55	55	55	55
blaSRT	CEPHALOSPORIN	bla-C	3	3	3	3	3	3	3	4	4	4	4	5	5	5	5	5
blaTLA	CEPHALOSPORIN	bla-A	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2
blaTEM	CEPHALOSPORIN	bla-A	76	78	80	83	83	86	87	88	91	91	92	92	92	92	92	92
blaVEB	CEPHALOSPORIN	bla-A	9	9	9	10	10	16	18	19	21	25	27	30	31	31	39	40
blaTRU	CEPHALOSPORIN	bla-C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cepA	CEPHALOSPORIN	bla-A	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
blaOXA	CEPHALOSPORIN	bla-D	19	19	19	20	22	22	23	28	32	35	43	46	51	53	53	53
blaMOX	CEPHALOSPORIN	bla-C	14	14	14	15	17	19	19	20	20	21	21	23	32	32	32	32
blaLUT	CEPHALOSPORIN	bla-A	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
blaMIR	CEPHALOSPORIN	bla-C	5	5	6	6	16	17	20	22	22	22	23	23	26	28	33	37
blaORN	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaKPC	CEPHALOSPORIN	bla-A	0	1	2	2	2	3	5	6	7	17	31	39	52	68	75	79
blaKLUC	CEPHALOSPORIN	bla-A	2	2	4	4	4	4	4	4	5	5	5	5	6	6	6	6
blaGES	CEPHALOSPORIN	bla-A	11	12	14	15	15	18	20	20	25	28	31	31	34	36	39	40
blaLAT	CEPHALOSPORIN	bla-C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
blaLRG	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaFONA	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaFOX	CEPHALOSPORIN	bla-C	7	8	8	9	10	10	12	13	14	14	15	17	19	19	19	20
blaCME	CEPHALOSPORIN	bla-A	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3
blaACT	CEPHALOSPORIN	bla-C	17	19	25	29	55	61	83	88	101	112	122	142	158	189	227	250
blaACC	CEPHALOSPORIN	bla-C	6	6	6	6	7	7	7	8	8	8	9	9	9	9	9	9
blaACI	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaAQU	CEPHALOSPORIN	bla-C	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
blaADC	CEPHALOSPORIN	bla-C	43	46	61	84	95	103	130	176	187	226	229	239	265	313	335	364
blaBPU	CEPHALOSPORIN	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBEL	CEPHALOSPORIN	bla-A	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4
blaBES	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBUT	CEPHALOSPORIN	bla-C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaCTX-M	CEPHALOSPORIN	bla-A	100	112	125	132	141	159	174	192	210	221	231	239	247	258	266	269
blaCSP	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaCMH	CEPHALOSPORIN	bla-C	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaCMY	CEPHALOSPORIN	bla-C	55	63	84	95	110	127	136	149	154	161	164	170	179	183	191	211
blaCDD	CEPHALOSPORIN	bla-D	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
blaCFE	CEPHALOSPORIN	bla-C	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	6
blaCGA	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaCIA	CEPHALOSPORIN	bla-A	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
blaEC	CEPHALOSPORIN	bla-C	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
blaDES	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaDHA	CEPHALOSPORIN	bla-C	7	8	8	8	20	21	23	24	27	28	28	28	28	32	33	36
blaERP	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaCMA	CEPHALOTHIN	bla-C	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
blaCSA	CEPHALOTHIN	bla-C	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
blaOXA-1_fam	BETA-LACTAM	bla-D	3	5	5	6	6	6	7	7	8	8	9	10	10	10	10	16
blaRSD1	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaPEDO-1_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaSPG-1_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaMSI-1_fam	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaCAU/MBL1b	CARBAPENEM	bla-B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
blaOXA-1_fam	CEPHALOSPORIN	bla-D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
blaRSC1	CEPHALOSPORIN	bla-C	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaOXY-1	CEPHALOSPORIN	bla-A	5	5	5	5	6	7	9	10	12	12	17	18	18	18	18	18
blaOXA-2_fam	BETA-LACTAM	bla-D	4	5	5	5	7	7	7	7	8	9	9	11	19	20	21	22
blaRSD2	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaRSA2	CARBAPENEM	bla-A	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaPEDO-2_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaDHT2	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaOXA-2_fam	CEFIDEROCOL/CEPHALOSPORIN	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-2_fam	CEPHALOSPORIN	bla-D	5	5	5	5	5	5	6	8	9	9	9	9	9	9	9	9
blaOXY-2	CEPHALOSPORIN	bla-A	11	11	14	15	16	18	21	22	22	22	27	28	29	29	29	29
blaRSD2	CEPHALOSPORIN	bla-D	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
blaTLA2	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaPEDO-3_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
blaCRD3	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaOXY-3	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3
blaOXY-4	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	4	4	5	5	5	5	5
blaOXA-5_fam	BETA-LACTAM	bla-D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
blaOXY-5	CEPHALOSPORIN	bla-A	2	2	2	3	3	4	4	4	5	5	10	10	11	11	11	11
blaALG6	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaOXY-6	CEPHALOSPORIN	bla-A	4	4	4	4	4	5	5	5	5	7	9	10	11	11	11	11
blaADC-8_fam	CEPHALOSPORIN	bla-C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-10_fam	BETA-LACTAM	bla-D	4	7	8	8	8	9	11	12	14	20	22	24	38	41	48	53
blaOXA-10_fam	CARBAPENEM	bla-D	0	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2
blaOXA-10_fam	CEPHALOSPORIN	bla-D	11	11	11	11	12	12	12	12	14	15	15	15	15	15	15	15
blaALG11	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaOXA-12_fam	BETA-LACTAM	bla-D	3	3	3	3	3	3	3	4	4	4	5	9	11	11	11	11
blaOXA-22_fam	BETA-LACTAM	bla-D	1	1	1	1	1	2	2	2	5	5	6	6	7	7	7	7
